JobLevel,OverTime_Yes,MaritalStatus_Single,MonthlyIncome,YearsInCurrentRole,TotalWorkingYears,BusinessTravel_Travel_Frequently,Age,YearsWithCurrManager,Education,MaritalStatus_Married,NumCompaniesWorked,TrainingTimesLastYear,YearsAtCompany,JobSatisfaction,PerformanceRating,StockOptionLevel,Attrition
2,1,1,-0.1083495135106711,-0.063295899399149,-0.4216424583593375,0,0.4463504035345031,0.2458339946348354,2,0,2.1251359240839385,-2.171981830933257,-0.1646131090542286,4,3,0,1
2,0,0,-0.2917185899565742,0.7649976209279952,-0.1645114009902331,1,1.3223652142096962,0.8065414765793012,1,1,-0.6780493930322936,0.1557070814399298,0.4885077284888646,2,4,1,0
1,1,1,-0.9376536912260358,-1.1676872598353414,-0.5502079870438897,0,0.0083429981969065,-1.1559347102263289,2,0,1.324225833479301,0.1557070814399298,-1.1442943653688686,3,3,0,1
1,1,0,-0.7636336754564013,0.7649976209279952,-0.4216424583593375,1,-0.42966440714069,-1.1559347102263289,4,1,-0.6780493930322936,0.1557070814399298,0.161947309717318,3,3,0,0
1,0,0,-0.6448581091374443,-0.6154915796172451,-0.678773515728442,0,-1.0866755151470848,-0.5952272282818631,1,1,2.5255909693862573,0.1557070814399298,-0.8177339465973219,2,3,1,0
1,0,1,-0.7298495698307945,0.7649976209279952,-0.4216424583593375,1,-0.5391662584750891,0.5261877356070683,2,0,-1.0785044383346123,-0.6201892226844657,-0.0013328996684553,4,3,0,0
1,1,0,-0.814416073220678,-1.1676872598353414,0.0926196563788712,0,2.417383727553688,-1.1559347102263289,3,1,0.523315742874663,0.1557070814399298,-0.9810141559830952,1,4,3,0
1,0,0,-0.8095290642308104,-1.1676872598353414,-1.3216011591512031,0,-0.7581699611438873,-1.1559347102263289,1,0,-0.6780493930322936,-0.6201892226844657,-0.9810141559830952,3,4,1,0
3,0,1,0.6423375630633446,0.7649976209279952,-0.1645114009902331,1,0.1178448495313057,1.086895217551534,3,0,-1.0785044383346123,-0.6201892226844657,0.3252275191030913,3,4,0,0
2,0,0,-0.2689833742211031,0.7649976209279952,0.7354472998016324,0,-0.1011588531374925,0.8065414765793012,3,1,1.324225833479301,0.1557070814399298,-0.0013328996684553,3,3,2,0
1,0,0,-0.8662608642436216,-0.063295899399149,-0.678773515728442,0,-0.2106607044718917,-0.3148734873096303,3,1,-1.0785044383346123,1.707499689688721,-0.3278933184400019,2,3,1,0
2,1,1,-0.4908110866307471,0.212801940709899,-0.1645114009902331,0,-0.8676718124782865,1.086895217551534,2,0,-1.0785044383346123,0.1557070814399298,0.3252275191030913,3,3,0,0
1,0,0,-0.7632087181529345,-0.6154915796172451,-0.8073390444129942,0,-0.6486681098094882,-0.3148734873096303,1,0,-0.6780493930322936,-1.3960855268088614,-0.3278933184400019,3,3,1,0
1,0,0,-0.8163283810862784,-0.6154915796172451,-1.0644701017820986,0,-0.3201625558062908,-0.5952272282818631,2,0,-1.0785044383346123,-0.6201892226844657,-0.8177339465973219,4,3,1,0
1,1,1,-0.9508273676335052,-0.6154915796172451,-0.678773515728442,0,-0.9771736638126856,-0.3148734873096303,3,0,0.9237707881769818,0.9316033855643254,-0.4911735278257753,3,3,0,1
3,0,0,0.738802870950297,1.3171933011460917,-0.1645114009902331,0,-0.8676718124782865,1.086895217551534,4,0,-0.6780493930322936,-1.3960855268088614,0.4885077284888646,1,3,1,0
1,1,0,-0.6809794799321182,-0.6154915796172451,-0.5502079870438897,0,-0.5391662584750891,0.2458339946348354,2,0,-1.0785044383346123,1.707499689688721,-0.1646131090542286,2,3,2,0
1,1,0,-0.7581092305113335,-1.1676872598353414,-1.3216011591512031,0,-1.6341847718190805,-1.1559347102263289,2,0,-0.6780493930322936,-0.6201892226844657,-0.9810141559830952,4,3,2,0
4,0,0,1.8961740869419932,1.041095461037043,2.535364701385363,0,1.7603726195472926,0.8065414765793012,4,1,-0.2775943477299747,0.1557070814399298,2.9377108692754645,4,3,0,0
1,1,1,-0.5437182709123576,-0.6154915796172451,-0.678773515728442,0,0.1178448495313057,-0.5952272282818631,3,0,0.9237707881769818,0.1557070814399298,-0.6544537372115486,4,3,0,0
2,0,0,-0.5294822012462215,-0.6154915796172451,-0.8073390444129942,0,-1.4151810691502822,-0.3148734873096303,2,0,-1.0785044383346123,1.707499689688721,-0.4911735278257753,3,3,1,0
1,0,1,-0.6578193068931802,-0.339393739508197,-0.1645114009902331,0,-0.1011588531374925,-0.3148734873096303,4,0,1.7246808787816197,0.9316033855643254,-0.3278933184400019,1,4,0,1
3,0,1,1.1667348755413154,0.4888997808189471,0.2211851850634235,0,-0.3201625558062908,1.9279564404682328,4,0,-1.0785044383346123,0.9316033855643254,0.8150681472604113,2,3,0,0
1,0,1,-1.119960374413272,-1.1676872598353414,-1.4501666878357553,0,-1.7436866231534796,-1.1559347102263289,2,0,-0.6780493930322936,2.4833959938131165,-1.1442943653688686,4,3,0,0
1,0,1,-0.7527972642179991,-0.6154915796172451,-0.4216424583593375,0,-0.3201625558062908,-0.3148734873096303,1,0,-0.2775943477299747,-0.6201892226844657,-0.4911735278257753,1,3,0,1
5,0,0,2.6753333028482813,2.421584661582284,1.8925370579626024,0,1.7603726195472926,1.086895217551534,3,0,0.523315742874663,0.1557070814399298,1.141628566031958,3,3,1,0
1,1,1,-0.549030237205692,-0.6154915796172451,-0.1645114009902331,1,-0.5391662584750891,0.8065414765793012,1,0,-0.6780493930322936,1.707499689688721,0.4885077284888646,1,4,0,1
2,0,0,0.0684327247314972,0.7649976209279952,-0.1645114009902331,0,0.5558522548689022,-0.5952272282818631,4,1,-1.0785044383346123,-0.6201892226844657,0.3252275191030913,2,3,1,0
3,0,0,0.7957471496148416,0.4888997808189471,1.6354060005934978,0,0.7748559575377005,3.6100788863016295,4,1,0.1228606975723441,0.9316033855643254,2.447870241118145,4,3,1,0
5,0,1,2.644098941043475,-0.6154915796172451,1.3782749432243937,0,0.9938596602064989,-0.8755809692540959,4,0,0.1228606975723441,-0.6201892226844657,-0.8177339465973219,1,3,0,0
1,0,1,-0.8513873586222853,-0.8915894197262932,-0.5502079870438897,0,-0.42966440714069,-1.1559347102263289,3,0,0.523315742874663,0.1557070814399298,-0.9810141559830952,4,3,0,0
2,1,0,-0.0080595898925179,-0.6154915796172451,-0.2930769296747854,0,0.7748559575377005,-0.3148734873096303,4,1,-0.2775943477299747,1.707499689688721,-0.4911735278257753,4,3,0,0
1,0,1,-0.9130061676249642,-1.1676872598353414,-0.1645114009902331,0,-0.7581699611438873,1.086895217551534,2,0,-0.6780493930322936,1.707499689688721,0.4885077284888646,3,3,0,0
2,0,0,-0.9385036058329692,-1.1676872598353414,0.9925783571707368,0,0.2273467008657048,-1.1559347102263289,3,1,0.1228606975723441,2.4833959938131165,-0.9810141559830952,4,3,1,1
1,1,0,-0.8945205249241606,-1.1676872598353414,-0.678773515728442,0,-1.4151810691502822,-1.1559347102263289,3,1,-0.2775943477299747,-0.6201892226844657,-0.8177339465973219,4,3,1,1
1,0,0,-0.8197280395140124,-0.339393739508197,-0.678773515728442,0,0.6653541062033014,-0.0345197463373974,2,0,-0.6780493930322936,0.1557070814399298,-0.3278933184400019,3,3,2,0
1,1,0,-0.8116538507481441,-0.6154915796172451,-1.0644701017820986,0,1.4318670655440953,-0.5952272282818631,2,1,-0.6780493930322936,-0.6201892226844657,-0.6544537372115486,3,3,0,1
1,0,0,-0.9538020687577724,-0.6154915796172451,-1.193035630466651,0,-0.2106607044718917,-0.5952272282818631,3,1,-0.6780493930322936,0.1557070814399298,-0.8177339465973219,4,3,0,0
1,1,0,-0.6552695630723797,-0.8915894197262932,-0.678773515728442,0,-0.1011588531374925,-1.1559347102263289,4,1,2.5255909693862573,0.1557070814399298,-0.9810141559830952,1,3,1,0
2,0,0,-0.2394488416301638,-0.339393739508197,-0.1645114009902331,1,-0.42966440714069,-0.3148734873096303,3,1,-0.2775943477299747,0.1557070814399298,-0.3278933184400019,1,3,2,0
1,0,0,-0.967188223816975,-1.1676872598353414,-1.3216011591512031,0,-0.2106607044718917,-1.1559347102263289,2,0,-0.6780493930322936,0.1557070814399298,-0.9810141559830952,4,3,1,0
1,0,0,-0.8843215496409585,-1.1676872598353414,-1.3216011591512031,0,-1.0866755151470848,-1.1559347102263289,4,0,-0.6780493930322936,2.4833959938131165,-0.9810141559830952,1,3,1,0
1,0,1,-0.8945205249241606,-1.1676872598353414,-1.3216011591512031,0,-1.196177366481484,-0.8755809692540959,3,0,-0.6780493930322936,-0.6201892226844657,-0.9810141559830952,3,3,0,1
3,0,1,0.4723546416766441,1.041095461037043,-0.2930769296747854,1,-1.0866755151470848,0.8065414765793012,3,0,-0.6780493930322936,-2.171981830933257,0.3252275191030913,3,3,0,0
2,0,1,-0.5294822012462215,1.041095461037043,0.0926196563788712,1,-0.7581699611438873,0.8065414765793012,2,0,-0.6780493930322936,-0.6201892226844657,0.8150681472604113,4,4,0,0
5,0,0,2.7711611747800338,2.97378034180038,1.5068404719089457,0,0.4463504035345031,1.086895217551534,3,1,-0.6780493930322936,-2.171981830933257,2.447870241118145,3,3,0,1
2,0,1,-0.4111315922307312,0.212801940709899,-0.1645114009902331,0,-0.3201625558062908,0.8065414765793012,4,0,-1.0785044383346123,-0.6201892226844657,0.3252275191030913,3,4,0,0
1,0,0,-0.7396235878105298,-1.1676872598353414,-0.4216424583593375,0,0.0083429981969065,-1.1559347102263289,2,1,0.523315742874663,-1.3960855268088614,-0.9810141559830952,2,4,0,0
2,1,1,-0.1553072955437471,0.4888997808189471,0.3497507137479757,1,0.9938596602064989,1.086895217551534,4,0,0.523315742874663,0.9316033855643254,0.3252275191030913,4,4,0,0
